service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AFA21GEN-1037-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-1038-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-1091-Weekday-00_C10,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-2042-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-2048-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-2097-Weekday-00_C48,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-3039-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-3041-Sunday-00_C32,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-3087-Weekday-00_C6,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-4043-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-4049-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-4099-Weekday-00_C40,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-5043-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-5048-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-5108-Weekday-00_C30,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-6030-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-6033-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-6089-Weekday-00_C52,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-7023-Saturday-00_C4,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-7025-Sunday-00_C45,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-7062-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-7062-Weekday-00_C19,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-7062-Weekday-00_C20,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-7062-Weekday-00_C56,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-7062-Weekday-00_C64,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-7062-Weekday-00_C65,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-GS013-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-GS022-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-A046-Saturday-00_C29,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-A053-Sunday-00_C22,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-A083-Weekday-00_C41,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-B083-Weekday-00_C42,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-C025-Saturday-00_C14,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-C027-Sunday-00_C33,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-C052-Weekday-00_C24,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-D039-Saturday-00_C13,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-D042-Sunday-00_C43,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-D078-Weekday-00_C31,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-E041-Saturday-00_C51,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-E046-Sunday-00_C28,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-E073-Weekday-00_C18,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-F044-Saturday-00_C26,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-F048-Sunday-00_C5,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-F075-Weekday-00_C46,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-FS011-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-FS011-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-FS012-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-G036-Saturday-00_C25,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-G037-Sunday-00_C35,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-G052-Weekday-00_C36,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-H025-Sunday-00_C17,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-H026-Saturday-00_C34,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-H040-Weekday-00_C38,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-J032-Saturday-00_C27,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-J032-Sunday-00_C15,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-J052-Weekday-00_C47,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-L022-Saturday-00_C8,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-L022-Sunday-00_C16,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-L045-Weekday-00_C3,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-M023-Sunday-00_C2,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-M024-Saturday-00_C11,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-M089-Weekday-00_C49,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-N056-Saturday-00_C44,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-N059-Sunday-00_C23,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-N095-Weekday-00_C39,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-Q021-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-Q023-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
