service_id,date,exception_type
AFA21GEN-1037-Sunday-00,20220530,1
AFA21GEN-1038-Saturday-00,20211224,1
AFA21GEN-1038-Saturday-00,20211231,1
AFA21GEN-1038-Saturday-00,20220221,1
AFA21GEN-1091-Weekday-00_C10,20211224,2
AFA21GEN-1091-Weekday-00_C10,20211231,2
AFA21GEN-1091-Weekday-00_C10,20220221,2
AFA21GEN-1091-Weekday-00_C10,20220316,2
AFA21GEN-1091-Weekday-00_C10,20220317,2
AFA21GEN-1091-Weekday-00_C10,20220318,2
AFA21GEN-1091-Weekday-00_C10,20220321,2
AFA21GEN-1091-Weekday-00_C10,20220322,2
AFA21GEN-1091-Weekday-00_C10,20220323,2
AFA21GEN-1091-Weekday-00_C10,20220324,2
AFA21GEN-1091-Weekday-00_C10,20220530,2
AFA21GEN-2042-Saturday-00,20211224,1
AFA21GEN-2042-Saturday-00,20211231,1
AFA21GEN-2042-Saturday-00,20220221,1
AFA21GEN-2048-Sunday-00,20220530,1
AFA21GEN-2097-Weekday-00_C48,20211224,2
AFA21GEN-2097-Weekday-00_C48,20211231,2
AFA21GEN-2097-Weekday-00_C48,20220221,2
AFA21GEN-2097-Weekday-00_C48,20220316,2
AFA21GEN-2097-Weekday-00_C48,20220317,2
AFA21GEN-2097-Weekday-00_C48,20220530,2
AFA21GEN-3039-Saturday-00,20211224,1
AFA21GEN-3039-Saturday-00,20211231,1
AFA21GEN-3039-Saturday-00,20220221,1
AFA21GEN-3041-Sunday-00_C32,20220320,2
AFA21GEN-3041-Sunday-00_C32,20220530,1
AFA21GEN-3087-Weekday-00_C6,20211224,2
AFA21GEN-3087-Weekday-00_C6,20211231,2
AFA21GEN-3087-Weekday-00_C6,20220221,2
AFA21GEN-3087-Weekday-00_C6,20220316,2
AFA21GEN-3087-Weekday-00_C6,20220317,2
AFA21GEN-3087-Weekday-00_C6,20220530,2
AFA21GEN-4043-Saturday-00,20211224,1
AFA21GEN-4043-Saturday-00,20211231,1
AFA21GEN-4043-Saturday-00,20220221,1
AFA21GEN-4049-Sunday-00,20220530,1
AFA21GEN-4099-Weekday-00_C40,20211224,2
AFA21GEN-4099-Weekday-00_C40,20211231,2
AFA21GEN-4099-Weekday-00_C40,20220221,2
AFA21GEN-4099-Weekday-00_C40,20220316,2
AFA21GEN-4099-Weekday-00_C40,20220317,2
AFA21GEN-4099-Weekday-00_C40,20220530,2
AFA21GEN-5043-Saturday-00,20211224,1
AFA21GEN-5043-Saturday-00,20211231,1
AFA21GEN-5043-Saturday-00,20220221,1
AFA21GEN-5048-Sunday-00,20220530,1
AFA21GEN-5108-Weekday-00_C30,20211224,2
AFA21GEN-5108-Weekday-00_C30,20211231,2
AFA21GEN-5108-Weekday-00_C30,20220221,2
AFA21GEN-5108-Weekday-00_C30,20220316,2
AFA21GEN-5108-Weekday-00_C30,20220317,2
AFA21GEN-5108-Weekday-00_C30,20220530,2
AFA21GEN-6030-Sunday-00,20220530,1
AFA21GEN-6033-Saturday-00,20211224,1
AFA21GEN-6033-Saturday-00,20211231,1
AFA21GEN-6033-Saturday-00,20220221,1
AFA21GEN-6089-Weekday-00_C52,20211224,2
AFA21GEN-6089-Weekday-00_C52,20211231,2
AFA21GEN-6089-Weekday-00_C52,20220221,2
AFA21GEN-6089-Weekday-00_C52,20220316,2
AFA21GEN-6089-Weekday-00_C52,20220317,2
AFA21GEN-6089-Weekday-00_C52,20220318,2
AFA21GEN-6089-Weekday-00_C52,20220321,2
AFA21GEN-6089-Weekday-00_C52,20220322,2
AFA21GEN-6089-Weekday-00_C52,20220323,2
AFA21GEN-6089-Weekday-00_C52,20220324,2
AFA21GEN-6089-Weekday-00_C52,20220530,2
AFA21GEN-7023-Saturday-00_C4,20211224,1
AFA21GEN-7023-Saturday-00_C4,20211231,1
AFA21GEN-7023-Saturday-00_C4,20220221,1
AFA21GEN-7023-Saturday-00_C4,20220319,2
AFA21GEN-7025-Sunday-00_C45,20220320,2
AFA21GEN-7025-Sunday-00_C45,20220530,1
AFA21GEN-7062-Weekday-00,20211224,2
AFA21GEN-7062-Weekday-00,20211231,2
AFA21GEN-7062-Weekday-00,20220221,2
AFA21GEN-7062-Weekday-00,20220530,2
AFA21GEN-7062-Weekday-00_C19,20211224,2
AFA21GEN-7062-Weekday-00_C19,20211231,2
AFA21GEN-7062-Weekday-00_C19,20220221,2
AFA21GEN-7062-Weekday-00_C19,20220321,2
AFA21GEN-7062-Weekday-00_C19,20220322,2
AFA21GEN-7062-Weekday-00_C19,20220324,2
AFA21GEN-7062-Weekday-00_C19,20220530,2
AFA21GEN-7062-Weekday-00_C20,20211224,2
AFA21GEN-7062-Weekday-00_C20,20211231,2
AFA21GEN-7062-Weekday-00_C20,20220221,2
AFA21GEN-7062-Weekday-00_C20,20220316,2
AFA21GEN-7062-Weekday-00_C20,20220317,2
AFA21GEN-7062-Weekday-00_C20,20220318,2
AFA21GEN-7062-Weekday-00_C20,20220321,2
AFA21GEN-7062-Weekday-00_C20,20220322,2
AFA21GEN-7062-Weekday-00_C20,20220324,2
AFA21GEN-7062-Weekday-00_C20,20220530,2
AFA21GEN-7062-Weekday-00_C56,20211224,2
AFA21GEN-7062-Weekday-00_C56,20211231,2
AFA21GEN-7062-Weekday-00_C56,20220221,2
AFA21GEN-7062-Weekday-00_C56,20220316,2
AFA21GEN-7062-Weekday-00_C56,20220317,2
AFA21GEN-7062-Weekday-00_C56,20220318,2
AFA21GEN-7062-Weekday-00_C56,20220530,2
AFA21GEN-7062-Weekday-00_C64,20211224,2
AFA21GEN-7062-Weekday-00_C64,20211231,2
